time,301525111298>Gexin_River>ammonia_nitrogen,301525111298>Gexin_River>dissolved_oxygen,301525111298>Gexin_River>ph,301525111298>Gexin_River>temperature
2026-03-02 00:00:00,1.42,7.29,7.37,11.6
2026-03-02 01:00:00,1.29,6.97,7.37,11.6
2026-03-02 02:00:00,1.4,6.82,7.37,11.6
2026-03-02 03:00:00,1.37,6.62,7.37,11.6
2026-03-02 04:00:00,1.45,6.21,7.37,11.6
2026-03-02 05:00:00,1.46,5.42,7.37,11.6
2026-03-02 06:00:00,1.37,4.88,7.42,11.7
2026-03-02 07:00:00,1.3,15.98,7.39,8.7
2026-03-02 08:00:00,1.2,16.32,7.37,8.2
2026-03-02 09:00:00,1.26,16.49,7.32,8.1
2026-03-02 10:00:00,1.25,16.37,7.28,8.3
2026-03-02 11:00:00,1.18,17.09,7.22,8.8
2026-03-02 12:00:00,1.23,17.75,7.19,9.0
2026-03-02 13:00:00,1.07,17.91,7.13,9.2
2026-03-02 14:00:00,1.29,1.28,7.51,11.1
2026-03-02 15:00:00,1.47,1.38,7.57,11.6
2026-03-02 16:00:00,1.52,2.97,7.53,11.5
2026-03-02 17:00:00,1.36,7.12,7.4,11.2
2026-03-02 18:00:00,1.36,3.34,7.37,11.2
2026-03-02 19:00:00,1.41,4.7,7.37,11.2
2026-03-02 20:00:00,1.44,5.13,7.39,11.2
2026-03-02 21:00:00,1.48,5.07,7.37,11.2
2026-03-02 22:00:00,1.49,5.94,7.38,11.2
2026-03-02 23:00:00,1.46,6.35,7.38,11.2
2026-03-03 00:00:00,1.54,7.69,7.37,11.1
2026-03-03 01:00:00,1.4,7.58,7.37,11.0
2026-03-03 02:00:00,1.28,7.67,7.35,11.1
2026-03-03 03:00:00,1.41,8.08,7.33,11.0
2026-03-03 04:00:00,1.55,7.77,7.31,11.0
2026-03-03 05:00:00,1.43,7.59,7.33,11.0
2026-03-03 06:00:00,1.51,9.51,7.29,11.0
2026-03-03 07:00:00,1.46,6.97,7.33,11.1
2026-03-03 08:00:00,1.56,6.63,7.35,11.1
2026-03-03 09:00:00,1.66,7.4,7.33,11.0
2026-03-03 10:00:00,1.63,6.57,7.35,11.0
2026-03-03 11:00:00,1.62,5.44,7.37,11.0
2026-03-03 12:00:00,1.52,5.28,7.37,10.9
2026-03-03 13:00:00,1.6,4.22,7.37,10.9
2026-03-03 14:00:00,1.58,4.91,7.39,10.9
2026-03-03 15:00:00,1.55,4.15,7.39,10.9
2026-03-03 16:00:00,1.68,4.26,7.39,10.7
2026-03-03 17:00:00,1.57,4.7,7.39,10.7
2026-03-03 18:00:00,1.58,6.01,7.37,10.7
2026-03-03 19:00:00,1.48,6.25,7.35,10.7
2026-03-03 20:00:00,1.47,6.41,7.35,10.6
2026-03-03 21:00:00,1.52,6.02,7.37,10.6
2026-03-03 22:00:00,1.65,5.67,7.39,10.6
2026-03-03 23:00:00,1.67,4.91,7.4,10.6
2026-03-04 00:00:00,1.61,7.99,7.35,10.4
2026-03-04 01:00:00,1.44,6.03,7.39,10.5
2026-03-04 02:00:00,1.57,6.33,7.39,10.5
2026-03-04 03:00:00,1.46,5.76,7.39,10.5
2026-03-04 04:00:00,1.6,6.08,7.39,10.6
2026-03-04 05:00:00,1.11,9.09,7.35,10.5
2026-03-04 06:00:00,1.09,8.27,7.37,10.6
2026-03-04 07:00:00,1.11,8.58,7.37,10.7
2026-03-04 08:00:00,1.26,7.78,7.37,10.7
2026-03-04 09:00:00,1.43,6.0,7.4,10.7
2026-03-04 10:00:00,1.58,6.03,7.4,10.6
2026-03-04 11:00:00,1.48,5.9,7.4,10.6
2026-03-04 12:00:00,1.48,5.81,7.4,10.6
2026-03-04 13:00:00,1.46,5.79,7.4,10.6
2026-03-04 14:00:00,1.49,5.7,7.4,10.6
2026-03-04 15:00:00,1.65,5.55,7.4,10.6
2026-03-04 16:00:00,1.57,5.76,7.4,10.5
2026-03-04 17:00:00,1.45,7.15,7.39,10.5
2026-03-04 18:00:00,1.35,7.03,7.39,10.6
2026-03-04 19:00:00,1.3,7.8,7.39,10.6
2026-03-04 20:00:00,1.17,8.61,7.37,10.6
2026-03-04 21:00:00,1.2,8.94,7.37,10.6
2026-03-04 22:00:00,1.13,8.92,7.37,10.5
2026-03-04 23:00:00,0.92,8.76,7.37,10.5
2026-03-05 00:00:00,0.93,9.92,7.39,10.3
2026-03-05 01:00:00,0.95,8.73,7.37,10.4
2026-03-05 02:00:00,0.86,9.19,7.37,10.5
2026-03-05 03:00:00,0.81,9.13,7.37,10.7
2026-03-05 04:00:00,1.02,9.07,7.37,10.9
2026-03-05 05:00:00,0.87,10.85,7.46,10.6
2026-03-05 06:00:00,0.85,10.78,7.42,10.9
2026-03-05 07:00:00,0.74,10.28,7.4,11.1
2026-03-05 08:00:00,0.75,10.44,7.39,11.0
2026-03-05 09:00:00,0.76,11.12,7.42,11.0
2026-03-05 10:00:00,0.81,10.97,7.44,11.0
2026-03-05 11:00:00,0.85,11.79,7.46,10.9
2026-03-05 12:00:00,0.78,11.68,7.48,10.9
2026-03-05 13:00:00,0.81,11.0,7.46,10.9
2026-03-05 14:00:00,0.97,11.08,7.46,10.9
2026-03-05 15:00:00,0.75,10.92,7.46,10.9
2026-03-05 16:00:00,0.77,11.1,7.46,10.7
2026-03-05 17:00:00,0.75,11.05,7.46,10.7
2026-03-05 18:00:00,0.95,10.56,7.46,10.7
2026-03-05 19:00:00,0.91,10.97,7.46,10.7
2026-03-05 20:00:00,0.91,10.47,7.44,10.7
2026-03-05 21:00:00,0.97,8.56,7.44,10.7
2026-03-05 22:00:00,0.85,9.42,7.44,10.7
2026-03-05 23:00:00,1.01,9.24,7.44,10.6
2026-03-06 00:00:00,1.04,8.36,7.39,10.4
2026-03-06 01:00:00,1.0,8.04,7.39,10.5
2026-03-06 02:00:00,0.92,8.03,7.39,10.9
2026-03-06 03:00:00,0.94,8.09,7.37,10.9
2026-03-06 04:00:00,0.82,8.91,7.37,10.9
2026-03-06 05:00:00,0.93,8.71,7.37,11.1
2026-03-06 06:00:00,0.97,0.78,7.37,11.1
2026-03-06 07:00:00,0.97,0.82,7.37,11.2
2026-03-06 08:00:00,0.97,0.77,7.37,11.2
2026-03-06 09:00:00,0.97,0.85,7.37,11.2
2026-03-06 10:00:00,0.97,0.82,7.37,11.2
2026-03-06 11:00:00,0.97,0.94,7.37,11.1
2026-03-06 12:00:00,0.97,9.67,7.37,11.0
2026-03-06 13:00:00,0.97,9.84,7.37,10.9
2026-03-06 14:00:00,0.97,9.88,7.39,10.9
2026-03-06 15:00:00,0.97,9.88,7.4,10.7
2026-03-06 16:00:00,0.97,9.97,7.4,10.7
2026-03-06 17:00:00,0.97,10.23,7.42,10.7
2026-03-06 18:00:00,0.97,10.18,7.44,10.6
2026-03-06 19:00:00,0.97,9.94,7.44,10.6
2026-03-06 20:00:00,0.97,10.23,7.46,10.6
2026-03-06 21:00:00,0.97,10.84,7.46,10.5
2026-03-06 22:00:00,0.97,11.03,7.46,10.4
2026-03-06 23:00:00,0.97,11.13,7.46,10.2
2026-03-07 00:00:00,0.97,9.97,7.42,10.0
2026-03-07 01:00:00,0.97,9.62,7.4,10.1
2026-03-07 02:00:00,0.97,9.48,7.39,10.4
2026-03-07 03:00:00,0.97,9.43,7.37,11.0
2026-03-07 04:00:00,0.97,10.96,7.4,11.7
2026-03-07 05:00:00,0.97,11.68,7.51,11.1
2026-03-07 06:00:00,0.97,10.2,7.4,11.4
2026-03-07 07:00:00,0.97,10.39,7.4,11.6
2026-03-07 08:00:00,0.97,10.23,7.37,11.6
2026-03-07 09:00:00,0.97,10.53,7.38,11.6
2026-03-07 10:00:00,0.97,11.06,7.42,11.5
2026-03-07 11:00:00,0.97,11.35,7.44,11.5
2026-03-07 12:00:00,0.97,11.3,7.46,11.4
2026-03-07 13:00:00,0.97,11.25,7.48,11.4
2026-03-07 14:00:00,0.97,12.3,7.53,11.4
2026-03-07 15:00:00,0.97,12.05,7.55,11.4
2026-03-07 16:00:00,0.97,11.97,7.55,11.3
2026-03-07 17:00:00,0.97,11.4,7.55,11.3
2026-03-07 18:00:00,0.97,10.94,7.55,11.2
2026-03-07 19:00:00,0.97,10.4,7.51,11.1
2026-03-07 20:00:00,0.97,10.64,7.51,11.1
2026-03-07 21:00:00,0.97,10.32,7.53,11.0
2026-03-07 22:00:00,0.97,11.06,7.55,10.9
2026-03-07 23:00:00,0.89,11.29,7.57,10.7
2026-03-08 00:00:00,0.78,10.91,7.57,10.9
2026-03-08 01:00:00,0.82,10.28,7.53,11.1
2026-03-08 02:00:00,0.79,10.73,7.53,11.1
2026-03-08 03:00:00,0.79,10.73,7.53,11.1
2026-03-08 04:00:00,0.79,10.73,7.53,11.1
2026-03-08 05:00:00,0.79,10.73,7.53,11.1
2026-03-08 06:00:00,0.79,10.73,7.53,11.1
2026-03-08 07:00:00,0.79,10.73,7.53,11.1
2026-03-08 08:00:00,0.79,10.73,7.53,11.1
2026-03-08 09:00:00,0.79,10.73,7.53,11.1
2026-03-08 10:00:00,0.79,10.73,7.53,11.1
2026-03-08 11:00:00,0.79,10.73,7.53,11.1
2026-03-08 12:00:00,0.79,10.73,7.53,11.1
2026-03-08 13:00:00,0.73,9.54,7.4,11.6
2026-03-08 14:00:00,0.78,9.16,7.4,11.5
2026-03-08 15:00:00,0.77,8.57,7.4,11.5
2026-03-08 16:00:00,0.81,8.35,7.4,11.5
2026-03-08 17:00:00,0.79,7.67,7.4,11.4
2026-03-08 18:00:00,0.79,10.63,7.42,11.4
2026-03-08 19:00:00,0.73,9.72,7.46,11.4
2026-03-08 20:00:00,0.77,9.8,7.46,11.3
2026-03-08 21:00:00,0.78,9.7,7.44,11.3
2026-03-08 22:00:00,0.79,9.5,7.44,11.2
2026-03-08 23:00:00,0.76,9.33,7.44,11.2
2026-03-09 00:00:00,0.75,9.26,7.44,11.2
2026-03-09 01:00:00,0.69,9.6,7.46,11.3
2026-03-09 02:00:00,0.61,10.0,7.46,11.7
2026-03-09 03:00:00,0.5,10.16,7.46,12.1
2026-03-09 04:00:00,0.63,9.64,7.44,11.6
2026-03-09 05:00:00,0.58,9.14,7.4,12.0
2026-03-09 06:00:00,0.5,9.67,7.4,12.6
2026-03-09 07:00:00,0.53,9.83,7.4,12.6
2026-03-09 08:00:00,0.61,9.81,7.4,12.6
2026-03-09 09:00:00,0.61,10.37,7.4,12.4
2026-03-09 10:00:00,0.63,10.0,7.4,12.3
2026-03-09 11:00:00,0.61,9.92,7.4,12.2
2026-03-09 12:00:00,0.63,9.71,7.4,12.2
2026-03-09 13:00:00,0.65,9.46,7.4,12.1
2026-03-09 14:00:00,0.74,9.31,7.4,12.0
2026-03-09 15:00:00,0.79,9.55,7.4,11.8
2026-03-09 16:00:00,0.76,9.52,7.4,11.7
2026-03-09 17:00:00,0.85,9.92,7.42,11.7
2026-03-09 18:00:00,0.81,9.88,7.42,11.6
2026-03-09 19:00:00,0.83,10.0,7.42,11.6
2026-03-09 20:00:00,0.91,10.26,7.44,11.5
2026-03-09 21:00:00,0.88,9.99,7.44,11.5
2026-03-09 22:00:00,0.83,10.26,7.46,11.4
2026-03-09 23:00:00,0.88,10.3,7.48,11.2
2026-03-10 00:00:00,0.81,11.12,7.51,11.0
2026-03-10 01:00:00,0.77,10.03,7.49,11.2
2026-03-10 02:00:00,0.62,10.52,7.49,11.8
2026-03-10 03:00:00,0.52,9.67,7.46,12.7
2026-03-10 04:00:00,0.5,10.24,7.45,12.9
2026-03-10 05:00:00,0.45,10.09,7.47,13.5
2026-03-10 06:00:00,0.44,11.16,7.49,13.3
2026-03-10 07:00:00,0.58,10.54,7.46,12.4
2026-03-10 08:00:00,0.63,9.8,7.4,12.3
2026-03-10 09:00:00,0.63,9.7,7.38,12.4
2026-03-10 10:00:00,0.67,8.7,7.4,12.4
2026-03-10 11:00:00,0.79,8.3,7.4,12.4
2026-03-10 12:00:00,0.85,8.14,7.42,12.3
2026-03-10 13:00:00,0.94,8.03,7.42,12.3
2026-03-10 14:00:00,0.92,8.03,7.42,12.1
2026-03-10 15:00:00,0.98,7.94,7.42,12.1
2026-03-10 16:00:00,0.98,7.99,7.42,12.0
2026-03-10 17:00:00,0.81,9.37,7.42,11.8
2026-03-10 18:00:00,0.81,9.75,7.4,11.7
2026-03-10 19:00:00,0.79,9.79,7.4,11.6
2026-03-10 20:00:00,0.91,9.78,7.4,11.6
2026-03-10 21:00:00,0.87,8.83,7.4,11.6
2026-03-10 22:00:00,0.95,8.34,7.4,11.5
2026-03-10 23:00:00,0.94,8.44,7.4,11.4
2026-03-11 00:00:00,0.82,8.27,7.4,11.5
2026-03-11 01:00:00,0.8,8.94,7.4,11.6
2026-03-11 02:00:00,0.71,9.56,7.4,12.1
2026-03-11 03:00:00,0.64,9.84,7.42,12.5
2026-03-11 04:00:00,0.53,10.49,7.42,13.5
2026-03-11 05:00:00,0.41,10.81,7.44,14.0
2026-03-11 06:00:00,0.4,11.28,7.45,14.8
2026-03-11 07:00:00,0.58,12.19,7.53,12.3
2026-03-11 08:00:00,0.59,10.01,7.46,12.3
2026-03-11 09:00:00,0.73,9.65,7.42,12.3
2026-03-11 10:00:00,0.73,9.63,7.42,12.3
2026-03-11 11:00:00,0.78,9.08,7.42,12.3
2026-03-11 12:00:00,0.75,9.17,7.42,12.2
2026-03-11 13:00:00,0.73,9.37,7.42,12.2
2026-03-11 14:00:00,0.81,8.95,7.4,12.2
2026-03-11 15:00:00,0.8,8.66,7.42,12.1
2026-03-11 16:00:00,0.87,8.4,7.42,12.1
2026-03-11 17:00:00,0.86,8.08,7.42,12.0
2026-03-11 18:00:00,0.9,7.65,7.44,11.8
2026-03-11 19:00:00,0.96,7.67,7.44,11.7
2026-03-11 20:00:00,1.01,7.26,7.44,11.7
2026-03-11 21:00:00,1.08,7.47,7.46,11.6
2026-03-11 22:00:00,0.87,8.77,7.44,11.5
2026-03-11 23:00:00,0.87,8.49,7.42,11.5
2026-03-12 00:00:00,0.82,9.18,7.42,11.4
2026-03-12 01:00:00,0.81,8.44,7.42,11.6
2026-03-12 02:00:00,0.68,9.54,7.42,12.0
2026-03-12 03:00:00,0.79,7.64,7.42,12.4
2026-03-12 04:00:00,0.78,7.44,7.44,13.4
2026-03-12 05:00:00,0.61,8.46,7.42,13.8
2026-03-12 06:00:00,0.69,10.59,7.38,12.6
2026-03-12 07:00:00,0.8,8.93,7.42,12.9
2026-03-12 08:00:00,0.71,11.13,7.4,13.1
2026-03-12 09:00:00,0.63,11.15,7.4,13.2
2026-03-12 10:00:00,0.72,11.54,7.42,12.9
2026-03-12 11:00:00,0.83,9.32,7.44,12.9
2026-03-12 12:00:00,0.98,8.38,7.45,12.8
2026-03-12 13:00:00,1.03,7.57,7.45,12.7
2026-03-12 14:00:00,1.09,7.64,7.46,12.6
2026-03-12 15:00:00,1.09,7.41,7.47,12.6
2026-03-12 16:00:00,1.18,6.96,7.47,12.6
2026-03-12 17:00:00,1.24,6.64,7.47,12.5
2026-03-12 18:00:00,1.21,6.53,7.47,12.4
2026-03-12 19:00:00,1.29,6.55,7.49,12.3
2026-03-12 20:00:00,1.33,6.69,7.49,12.2
2026-03-12 21:00:00,1.39,6.75,7.49,12.2
2026-03-12 22:00:00,1.35,6.43,7.49,12.1
2026-03-12 23:00:00,1.24,6.97,7.46,12.0
2026-03-13 00:00:00,1.16,7.62,7.46,11.8
2026-03-13 01:00:00,1.0,8.63,7.44,12.1
2026-03-13 02:00:00,0.87,8.87,7.44,12.9
2026-03-13 03:00:00,0.5,13.19,7.44,14.0
2026-03-13 04:00:00,0.41,15.58,7.47,14.4
2026-03-13 05:00:00,0.41,14.08,7.47,15.0
2026-03-13 06:00:00,0.38,15.71,7.49,15.4
2026-03-13 07:00:00,0.62,13.34,7.42,13.3
2026-03-13 08:00:00,0.67,13.47,7.4,13.3
2026-03-13 09:00:00,0.66,13.49,7.4,13.3
2026-03-13 10:00:00,0.63,12.92,7.38,13.3
2026-03-13 11:00:00,0.63,12.92,7.38,13.3
2026-03-13 12:00:00,0.63,12.92,7.38,13.3
2026-03-13 13:00:00,0.63,12.92,7.38,13.3
2026-03-13 14:00:00,0.63,12.92,7.38,13.3
2026-03-13 15:00:00,0.63,12.92,7.38,13.3
2026-03-13 16:00:00,0.63,12.92,7.38,13.3
2026-03-13 17:00:00,0.63,12.92,7.38,13.3
2026-03-13 18:00:00,0.63,12.92,7.38,13.3
2026-03-13 19:00:00,0.63,12.92,7.38,13.3
2026-03-13 20:00:00,0.63,12.92,7.38,13.3
2026-03-13 21:00:00,0.63,12.92,7.38,13.3
2026-03-13 22:00:00,0.63,12.92,7.38,13.3
2026-03-13 23:00:00,0.63,12.92,7.38,13.3
2026-03-14 00:00:00,0.63,12.92,7.38,13.3
2026-03-14 01:00:00,0.63,12.92,7.38,13.3
2026-03-14 02:00:00,0.63,12.92,7.38,13.3
2026-03-14 03:00:00,0.63,12.92,7.38,13.3
2026-03-14 04:00:00,0.63,12.92,7.38,13.3
2026-03-14 05:00:00,0.63,12.92,7.38,13.3
2026-03-14 06:00:00,0.63,12.92,7.38,13.3
2026-03-14 07:00:00,0.63,12.92,7.38,13.3
2026-03-14 08:00:00,0.63,12.92,7.38,13.3
2026-03-14 09:00:00,0.63,12.92,7.38,13.3
2026-03-14 10:00:00,0.63,12.92,7.38,13.3
2026-03-14 11:00:00,0.63,12.92,7.38,13.3
2026-03-14 12:00:00,0.63,12.92,7.38,13.3
2026-03-14 13:00:00,0.63,12.92,7.38,13.3
2026-03-14 14:00:00,0.63,12.92,7.38,13.3
2026-03-14 15:00:00,0.63,12.92,7.38,13.3
2026-03-14 16:00:00,0.63,12.92,7.38,13.3
2026-03-14 17:00:00,0.63,12.92,7.38,13.3
2026-03-14 18:00:00,0.63,12.92,7.38,13.3
2026-03-14 19:00:00,0.63,12.92,7.38,13.3
2026-03-14 20:00:00,0.63,12.92,7.38,13.3
2026-03-14 21:00:00,0.63,12.92,7.38,13.3
2026-03-14 22:00:00,0.63,12.92,7.38,13.3
2026-03-14 23:00:00,0.63,12.92,7.38,13.3
2026-03-15 00:00:00,0.63,12.92,7.38,13.3
2026-03-15 01:00:00,0.63,12.92,7.38,13.3
2026-03-15 02:00:00,0.63,12.92,7.38,13.3
2026-03-15 03:00:00,0.63,12.92,7.38,13.3
2026-03-15 04:00:00,0.63,12.92,7.38,13.3
2026-03-15 05:00:00,0.63,12.92,7.38,13.3
2026-03-15 06:00:00,0.63,12.92,7.38,13.3
2026-03-15 07:00:00,0.63,12.92,7.38,13.3
2026-03-15 08:00:00,0.63,12.92,7.38,13.3
2026-03-15 09:00:00,0.63,12.92,7.38,13.3
2026-03-15 10:00:00,0.63,12.92,7.38,13.3
2026-03-15 11:00:00,0.63,12.92,7.38,13.3
2026-03-15 12:00:00,0.63,12.92,7.38,13.3
2026-03-15 13:00:00,0.63,12.92,7.38,13.3
2026-03-15 14:00:00,0.63,12.92,7.38,13.3
2026-03-15 15:00:00,0.63,12.92,7.38,13.3
2026-03-15 16:00:00,0.63,12.92,7.38,13.3
2026-03-15 17:00:00,0.63,12.92,7.38,13.3
2026-03-15 18:00:00,0.63,12.92,7.38,13.3
2026-03-15 19:00:00,0.63,12.92,7.38,13.3
2026-03-15 20:00:00,0.63,12.92,7.38,13.3
2026-03-15 21:00:00,0.63,12.92,7.38,13.3
2026-03-15 22:00:00,0.63,12.92,7.38,13.3
2026-03-15 23:00:00,0.63,12.92,7.38,13.3
2026-03-16 00:00:00,0.63,12.92,7.38,13.3
2026-03-16 01:00:00,0.63,12.92,7.38,13.3
2026-03-16 02:00:00,0.63,12.92,7.38,13.3
2026-03-16 03:00:00,0.63,12.92,7.38,13.3
2026-03-16 04:00:00,0.63,12.92,7.38,13.3
2026-03-16 05:00:00,0.63,12.92,7.38,13.3
2026-03-16 06:00:00,0.63,12.92,7.38,13.3
2026-03-16 07:00:00,0.63,12.92,7.38,13.3
2026-03-16 08:00:00,0.63,12.92,7.38,13.3
2026-03-16 09:00:00,0.63,12.92,7.38,13.3
2026-03-16 10:00:00,0.63,12.92,7.38,13.3
2026-03-16 11:00:00,0.63,12.92,7.38,13.3
2026-03-16 12:00:00,0.63,12.92,7.38,13.3
2026-03-16 13:00:00,0.63,12.92,7.38,13.3
2026-03-16 14:00:00,0.63,12.92,7.38,13.3
2026-03-16 15:00:00,0.63,12.92,7.38,13.3
2026-03-16 16:00:00,0.63,12.92,7.38,13.3
2026-03-16 17:00:00,0.63,12.92,7.38,13.3
2026-03-16 18:00:00,0.63,12.92,7.38,13.3
2026-03-16 19:00:00,0.63,12.92,7.38,13.3
2026-03-16 20:00:00,0.63,12.92,7.38,13.3
2026-03-16 21:00:00,0.63,12.92,7.38,13.3
2026-03-16 22:00:00,0.63,12.92,7.38,13.3
2026-03-16 23:00:00,0.63,12.92,7.38,13.3
